Program,Gender,Academic Year,Inquiry Date,Admission Batch,Training Program Funding Source,Admission Date,Start Date,End Date,Admission Status,Lead Source,Coordinator,Grand Total,Lead Stage,Package Amount,Placement Information,Placement Salary Range,Placement Job Title,State,Placement Employer,Placement Remark,Uploaded Documents,Assigned Career center,Enrolled FY,Exited FY,Training Duration Days,Inquiry To Start Days,Completed,Placed
OLD Student,Male,2016,2016-10-14,October,WIOA - MD,2016-10-26,2016-11-07,2017-03-27,Training Completed,Tidio chat,AD,6330.29,Admitted,6330.29,Yes,"$125,000-$149,999",Technical Support Specialist,MD,Blue River Solutions,,Course Completion certificate,Maryland Career Center,2016,2016,140,24,1,1
CompTIA-Network Specialist,Male,2016,2016-10-28,November,WIOA - NH,2016-11-14,2016-12-05,2017-03-27,Training Completed,Career Center Reference - Email,TP,5184.99,Admitted,5184.99,Yes,"$100,000-$124,999",Web Developer,NH,Vertex Consulting,,Course Completion certificate,Nashua Career Center,2016,2016,112,38,1,1
CompTIA-Network Specialist,Female,2019,2019-08-22,September,Section 30,2019-09-15,2019-10-07,2020-01-27,Training Completed,Don't know,ML,5184.99,Done with training,5184.99,,,,MA,,,Course Completion certificate,Worcester Career Center,2019,2019,112,46,1,0
Software QA Automation,Female,2025,2025-01-15,January,Section 30,2025-01-31,2025-02-03,2025-05-12,Training Completed,Masshire Website,CB,10176.63,Admitted,10176.63,Yes,"$100,000-$124,999",Business Analyst,MA,Summit Cloud Services,,Course Completion certificate,Boston Career Center,2024,2024,98,19,1,1
CompTIA IT Support Specialist II,Male,2026,2026-05-24,June,VRRAP,2026-06-09,2026-07-06,2026-10-26,Training Completed,VRRAP,ML,5159.91,Admitted,5159.91,,,,MA,,,Course Completion certificate,Veteran Affairs,2026,2026,112,43,1,0
Gen AI,Male,2017,2017-09-14,October,VRRAP,2017-10-10,2017-11-06,2018-02-26,Dropped Out,NJ Portal,AM,6556.32,Done with training,6556.32,Yes,"$75,000-$99,999",Web Developer,FL,Harbor Systems,,Course Completion certificate,Veteran Affairs,2017,2017,112,53,0,1
Data Analytics,Female,2020,2020-07-03,July,WIOA - MA,2020-07-29,2020-08-17,2021-02-01,Dropped Out,Masshire Website,ML,5466.25,Admitted,5466.25,No,,,MA,,,Course Completion certificate,Worcester Career Center,2020,2020,168,45,0,0
ADOBE Photoshop and Illustrator with Digital Marketing,Female,2024,2023-12-06,January,WIOA - FL,2024-01-02,2024-01-15,2024-05-06,Training Completed,Phone call,CB,6249.79,Admitted,6249.79,Yes,"$25,000-$49,999",Software Developer,FL,Evergreen Analytics,,Course Completion certificate,Miami Career Center,2023,2023,112,40,1,1
Cybersecurity Essentials,Male,2023,2023-01-12,February,Vocational Rehab,2023-02-01,2023-02-20,2023-08-07,Training Completed,Masshire Website,CB,6770.6,Admitted,6770.6,Yes,"$100,000-$124,999",Technical Support Specialist,NH,Vertex Consulting,,Course Completion certificate,Manchester Career Center,2022,2023,168,39,1,1
Salesforce Admin and Developer,Female,2018,2018-11-12,November,WIOA - MD,2018-11-25,2018-12-03,2019-02-25,Training Completed,Phone call,RJ,5622.38,Admitted,5622.38,Yes,"$75,000-$99,999",Cloud Support Specialist,MD,Summit Cloud Services,,Course Completion certificate,Maryland Career Center,2018,2018,84,21,1,1
OLD Student,Female,2019,2019-11-01,November,WIOA - CT,2019-11-14,2019-12-02,2020-04-20,Training Completed,Career Center Reference - Phone,ML,6330.29,Admitted,6330.29,,,,CT,,,Course Completion certificate,Hartford Career Center,2019,2019,140,31,1,0
JavaScript,Male,2022,2022-07-08,August,WIOA - MA,2022-08-03,2022-08-15,2023-01-30,Training Completed,Masshire Website,RJ,6613.8,Admitted,6613.8,Yes,"$50,000-$74,999",Data Analyst,MA,Harbor Systems,,Course Completion certificate,Boston Career Center,2022,2022,168,38,1,1
CompTIA-Cybersecurity Specialist,Female,2016,2016-11-11,December,WIOA - FL,2016-12-01,2016-12-05,2017-02-27,Training Completed,Don't know,ML,6644.76,Admitted,6644.76,Yes,"$25,000-$49,999",SQL Developer,FL,Evergreen Analytics,,Course Completion certificate,Orlando Career Center,2016,2016,84,24,1,1
AWS Solution and DevOps,Female,2024,2024-03-04,March,Section 30,2024-03-20,2024-04-15,2024-07-22,Training Completed,Masshire Website,RJ,6336.24,Admitted,6336.24,,,,MA,,,Course Completion certificate,Medford Career Center,2023,2024,98,42,1,0
Big Data and Python Developer,Female,2019,2019-04-17,May,Trade - MA,2019-05-03,2019-05-06,2019-09-23,Training Completed,NJ Portal,AD,6247.46,Admitted,6247.46,Yes,"$125,000-$149,999",Data Analyst,MA,Vertex Consulting,,Course Completion certificate,Medford Career Center,2018,2019,140,19,1,1
Data Analysis With Python and Tableau,Male,2025,2024-11-18,December,WIOA - MA,2024-12-15,2025-01-06,2025-04-14,Training Completed,Career Center Reference - Email,RJ,5762.94,Admitted,5762.94,Yes,"$25,000-$49,999",SQL Developer,MA,Summit Cloud Services,,Course Completion certificate,Worcester Career Center,2024,2024,98,49,1,1
Data Science with AWS DevOps,Female,2023,2023-06-02,June,VRRAP,2023-06-19,2023-07-17,2023-10-09,Training Completed,VRRAP,AD,9024.26,Dropped Out,9024.26,Yes,"$100,000-$124,999",QA Tester,MA,Vertex Consulting,,Course Completion certificate,Veteran Affairs,2023,2023,84,45,1,1
Salesforce Admin with Digital Marketing,Male,2023,2023-01-12,February,WIOA - VA,2023-02-02,2023-02-06,2023-05-15,Training Completed,NSCITE,CB,4847.6,Training completed,4847.6,Yes,"$75,000-$99,999",Data Analyst,VA,Northstar Technology,,Course Completion certificate,Norfolk Career Center,2022,2022,98,25,1,1
CompTIA Skills Builder,Male,2024,2024-04-06,April,WIOA - FL,2024-04-16,2024-05-06,2024-12-16,Training Completed,Masshire Website,CB,6048.52,Admitted,6048.52,Yes,"$25,000-$49,999",Web Developer,FL,Blue River Solutions,,Course Completion certificate,Miami Career Center,2023,2024,224,30,1,1
Cloud Technologies,Male,2017,2017-04-07,April,WIOA - VA,2017-04-21,2017-05-01,2017-09-18,Training Completed,Tidio chat,AM,5763.1,Admitted,5763.1,,,,VA,,,Course Completion certificate,Richmond Career Center,2016,2017,140,24,1,0
Advanced Data Analytics,Male,2019,2019-02-19,March,WIOA - NY,2019-03-11,2019-04-01,2019-07-22,Dropped Out,Masshire Website,ML,5811.89,Admitted,5811.89,,,,NY,,,Course Completion certificate,New York Career Center,2018,2019,112,41,0,0
MS Office with Digital Marketing/Beginners Entrepreneur Kit ,Male,2021,2021-10-12,November,WIOA - OH,2021-11-08,2021-12-06,2022-03-28,Dropped Out,Don't know,ML,5540.28,Done with training,5540.28,Yes,"$50,000-$74,999",Business Analyst,OH,Pioneer Digital,,"cert 2,cert 3,Course Completion certificate",Cleveland Career Center,2021,2021,112,55,0,1
CompTIA Core,Female,2024,2024-05-13,May,WIOA - FL,2024-05-23,2024-06-03,2024-09-09,Training Completed,Masshire Website,TP,6806.58,Admitted,6806.58,Yes,"$25,000-$49,999",Web Developer,FL,Vertex Consulting,,Course Completion certificate,Miami Career Center,2023,2024,98,21,1,1
Data Science with Programming Tools,Male,2025,2025-02-02,February,WIOA - PA,2025-02-25,2025-03-17,2025-05-26,Training Completed,Maryland Joblink,AM,4823.81,Admitted,4823.81,Yes,"$75,000-$99,999",QA Tester,PA,Blue River Solutions,,Course Completion certificate,Philadelphia Career Center,2024,2024,70,43,1,1
AWS Solution and DevOps,Male,2020,2020-05-15,May,WIOA - VA,2020-05-23,2020-06-01,2020-09-07,Training Completed,Don't know,RJ,6336.24,Admitted,6336.24,Yes,"$75,000-$99,999",Web Developer,VA,Blue River Solutions,,Course Completion certificate,Richmond Career Center,2019,2020,98,17,1,1
"Web, Mobile and Digital Marketing",Male,2024,2024-07-12,July,Section 30,2024-07-23,2024-08-19,2024-11-11,Training Completed,Phone call,AM,5648.08,Training completed,5648.08,,,,MA,,,Course Completion certificate,Medford Career Center,2024,2024,84,38,1,0
Advanced Data Analytics,Female,2018,2018-09-25,October,VSAC,2018-10-12,2018-10-15,2019-02-04,Training Completed,Don't know,ML,5811.89,Done with training,5811.89,Yes,"$75,000-$99,999",Cloud Support Specialist,VT,Summit Cloud Services,,Course Completion certificate,Rutland Career Center,2018,2018,112,20,1,1
AI with AWS,Female,2017,2017-05-04,May,WIOA - VT,2017-05-19,2017-06-05,2017-09-25,Dropped Out,Corporate,AD,6039.47,Admitted,6039.47,Yes,"$75,000-$99,999",Software Developer,VT,Vertex Consulting,,Course Completion certificate,Burlington Career Center,2016,2017,112,32,0,1
Cybersecurity,Male,2019,2018-12-31,January,Section 30,2019-01-08,2019-01-21,2019-04-15,Training Completed,Masshire Website,AD,5304.53,Done with training,5304.53,Yes,"$25,000-$49,999",Business Analyst,MA,Vertex Consulting,,Course Completion certificate,Medford Career Center,2018,2018,84,21,1,1
Data Analytics with Automation QA,Female,2025,2025-08-21,September,VRRAP,2025-09-02,2025-09-15,2025-12-08,Training Completed,Phone call,JW,5511.27,Admitted,5511.27,,,,AZ,,,Course Completion certificate,Veteran Affairs,2025,2025,84,25,1,0
Cybersecurity,Male,2022,2022-01-03,January,WIOA - NJ,2022-01-27,2022-02-21,2022-05-16,Training Completed,Masshire Website,ML,5304.53,Done with training,5304.53,Yes,"$75,000-$99,999",Web Developer,NJ,Harbor Systems,,Course Completion certificate,Newark Career Center,2021,2021,84,49,1,1
CompTIA Core,Female,2021,2021-05-16,May,WIOA - ME,2021-05-29,2021-06-07,2021-09-13,Training Completed,Masshire Website,AD,6806.58,Done with training,6806.58,Yes,"$25,000-$49,999",Software Developer,ME,Harbor Systems,,Course Completion certificate,Augusta Career Center,2020,2021,98,22,1,1
Data Science with Tableau,Male,2024,2024-01-09,January,WIOA - MA,2024-01-31,2024-02-05,2024-05-27,Training Completed,USA Worksource MD,ML,6340.49,Admitted,6340.49,Yes,"$100,000-$124,999",Data Analyst,MA,Harbor Systems,,Course Completion certificate,Boston Career Center,2023,2023,112,27,1,1
Old Student,Male,2016,2016-08-10,September,WIOA - MA,2016-09-04,2016-09-19,2017-01-09,Dropped Out,Don't know,TP,6481.08,Admitted,6481.08,Yes,"$125,000-$149,999",Cloud Support Specialist,MA,Pioneer Digital,,Course Completion certificate,Medford Career Center,2016,2016,112,40,0,1
Web development and Cloud computing with Azure,Female,2017,2017-09-13,October,VRRAP,2017-10-06,2017-10-16,2018-02-05,Training Completed,Masshire Website,AM,7681.61,Admitted,7681.61,Yes,"$25,000-$49,999",Cloud Support Specialist,CA,Blue River Solutions,,Course Completion certificate,Veteran Affairs,2017,2017,112,33,1,1
Business Office and Marketing Administrator,Female,2017,2017-07-06,July,WIOA - OH,2017-07-14,2017-08-07,2017-10-30,Training Completed,NJ Portal,CB,5961.24,Admitted,5961.24,,,,OH,,,Course Completion certificate,Cleveland Career Center,2017,2017,84,32,1,0
"Web, Mobile and Digital Marketing",Male,2017,2017-09-26,October,WIOA - VA,2017-10-19,2017-11-06,2018-01-29,Training Completed,NSCITE,ML,5648.08,Admitted,5648.08,Yes,"$50,000-$74,999",SQL Developer,VA,Summit Cloud Services,,Course Completion certificate,Norfolk Career Center,2017,2017,84,41,1,1
Python with AI,Female,2021,2021-02-02,February,WIOA - FL,2021-02-22,2021-03-01,2021-05-24,Training Completed,Pearson Inquiry,JW,6172.48,Admitted,6172.48,Yes,"$75,000-$99,999",Data Analyst,FL,Pioneer Digital,,Course Completion certificate,Miami Career Center,2020,2020,84,27,1,1
Cloud Technologies,Female,2019,2019-05-06,May,WIOA - PA,2019-05-15,2019-05-20,2019-11-04,Training Completed,Masshire Website,TP,5368.29,Admitted,5368.29,Yes,"$25,000-$49,999",SQL Developer,PA,Vertex Consulting,,Course Completion certificate,Pittsburgh Career Center,2018,2019,168,14,1,1
Cybersecurity,Male,2024,2024-06-13,July,WIOA - MA,2024-07-08,2024-07-15,2024-10-07,Training Completed,Don't know,TP,5304.53,Admitted,5304.53,No,,,MA,,,Course Completion certificate,Medford Career Center,2024,2024,84,32,1,0
OLD student,Female,2025,2024-12-27,January,WIOA - MA,2025-01-04,2025-01-20,2025-07-07,Training Completed,USA Worksource MD,CB,5815.44,Admitted,5815.44,Yes,"$100,000-$124,999",QA Tester,MA,Blue River Solutions,,Course Completion certificate,Boston Career Center,2024,2025,168,24,1,1
Microsoft Development Tool with Data Analytics,Male,2025,2025-11-09,November,WIOA - OH,2025-11-27,2025-12-01,2026-01-26,Dropped Out,Masshire Website,AM,5577.0,Done with training,5577.0,No,,,OH,,,Course Completion certificate,Columbus Career Center,2025,2025,56,22,0,0
Data Science with Tableau,Female,2018,2018-06-28,July,WIOA - MA,2018-07-09,2018-08-06,2018-10-29,Training Completed,Phone call,TP,6404.23,Admitted,6404.23,,,,MA,,,Course Completion certificate,Medford Career Center,2018,2018,84,39,1,0
Web Development With AI,Female,2021,2021-08-04,August,WIOA - VT,2021-08-24,2021-09-20,2021-12-13,Training Completed,Website,RJ,5148.88,Admitted,5148.88,Yes,"$50,000-$74,999",Technical Support Specialist,VT,Harbor Systems,,Course Completion certificate,Burlington Career Center,2021,2021,84,47,1,1
BI Analytics,Male,2017,2016-12-30,January,WIOA - NH,2017-01-16,2017-02-06,2017-05-29,Training Completed,Masshire Website,TP,6036.06,Admitted,6036.06,Yes,"$100,000-$124,999",Data Analyst,NH,Pioneer Digital,,Course Completion certificate,Nashua Career Center,2016,2016,112,38,1,1
CompTIA Core,Female,2019,2018-12-06,January,WIOA - NY,2019-01-02,2019-01-07,2019-04-15,Training Completed,Career Center Reference - Email,RJ,6806.58,Admitted,6806.58,Yes,"$100,000-$124,999",Web Developer,NY,Summit Cloud Services,,Course Completion certificate,New York Career Center,2018,2018,98,32,1,1
AI with Azure,Female,2022,2022-09-22,October,WIOA - ME,2022-10-07,2022-10-17,2023-04-03,Dropped Out,Corporate,RJ,6077.79,Admitted,6077.79,Yes,"$75,000-$99,999",Business Analyst,ME,Vertex Consulting,,Course Completion certificate,Augusta Career Center,2022,2022,168,25,0,1
CompTIA-Network Specialist,Male,2020,2020-10-10,November,WIOA - MA,2020-11-04,2020-11-16,2021-03-08,Training Completed,Career Center Reference - Phone,AD,5184.99,Admitted,5184.99,Yes,"$75,000-$99,999",Business Analyst,MA,Blue River Solutions,,Course Completion certificate,Worcester Career Center,2020,2020,112,37,1,1
Full Stack Web Development with C# . Net ASP.net,Male,2023,2023-06-28,July,WIOA - VT,2023-07-13,2023-08-07,2023-10-30,Training Completed,Training,CB,6315.31,Admitted,6315.31,Yes,"$25,000-$49,999",SQL Developer,VT,Evergreen Analytics,,Course Completion certificate,Burlington Career Center,2023,2023,84,40,1,1
AWS DevOps Admin with Certification,Male,2025,2024-12-28,January,WIOA - CT,2025-01-17,2025-01-20,2025-03-31,Training Completed,PA careerlink,TP,5593.41,Admitted,5593.41,,,,MA,,,Course Completion certificate,New Haven Career Center,2024,2024,70,23,1,0
MS Office with Digital Marketing/Beginners Entrepreneur Kit ,Male,2017,2017-02-08,February,WIOA - MA,2017-02-28,2017-03-06,2017-06-26,Training Completed,PA careerlink,JW,5540.28,Admitted,5540.28,Yes,"$50,000-$74,999",SQL Developer,MA,Evergreen Analytics,,Course Completion certificate,Boston Career Center,2016,2016,112,26,1,1
AWS Cloud Technologies,Female,2026,2025-12-30,January,VRRAP,2026-01-24,2026-02-16,2026-06-08,Training Completed,VRRAP,CB,5933.47,Admitted,5933.47,Yes,"$50,000-$74,999",SQL Developer,FL,Vertex Consulting,,Course Completion certificate,Veteran Affairs,2025,2025,112,48,1,1
Salesforce Admin with Tableau,Female,2017,2016-12-07,January,WIOA - NJ,2017-01-02,2017-01-16,2017-04-24,Training Completed,Masshire Website,RJ,5432.88,Admitted,5432.88,,,,NJ,,,Course Completion certificate,Trenton Career Center,2016,2016,98,40,1,0
OLD student,Male,2026,2026-06-07,June,WIOA - MA,2026-06-17,2026-07-06,2026-12-21,Training Completed,Phone call,RJ,5815.44,In Training,5815.44,Yes,"$50,000-$74,999",QA Tester,MA,Northstar Technology,,Course Completion certificate,Boston Career Center,2026,2026,168,29,1,1
Test,Male,2023,2022-12-14,January,VRRAP,2023-01-06,2023-01-16,2023-04-10,Training Completed,NJ Portal,AM,5112.51,Admitted,5112.51,Yes,"$75,000-$99,999",Technical Support Specialist,CA,Summit Cloud Services,,"cert 2,Course Completion certificate",Veteran Affairs,2022,2022,84,33,1,1
Digital Marketing (with Laptop),Male,2017,2016-12-10,January,Section 30,2017-01-04,2017-01-16,2017-06-05,Training Completed,Masshire Website,AD,5256.18,Admitted,5256.18,Yes,"$100,000-$124,999",SQL Developer,MA,Vertex Consulting,,Course Completion certificate,Worcester Career Center,2016,2016,140,37,1,1
OLD Student,Female,2020,2020-06-26,July,Trade - MA,2020-07-09,2020-08-03,2020-12-21,Training Completed,Phone call,TP,6330.29,Admitted,6330.29,,,,MA,,,Course Completion certificate,Medford Career Center,2020,2020,140,38,1,0
AWS DevOps with Data Analytics,Female,2019,2019-02-12,March,Section 30,2019-03-02,2019-03-18,2019-07-08,Training Completed,Don't know,JW,5425.5,Admitted,5425.5,Yes,"$100,000-$124,999",Web Developer,MA,Northstar Technology,,cert 2,Boston Career Center,2018,2019,112,34,1,1
AWS Solution and DevOps,Female,2024,2024-07-31,August,WIOA - MA,2024-08-25,2024-09-16,2024-12-23,Training Completed,Phone call,TP,6336.24,Admitted,6336.24,Yes,"$50,000-$74,999",Data Analyst,MA,Pioneer Digital,,Course Completion certificate,Medford Career Center,2024,2024,98,47,1,1
Data Science with Programming Tools,Male,2018,2018-10-14,November,WIOA - NH,2018-11-08,2018-12-03,2019-02-11,Training Completed,PA careerlink,TP,4823.81,Admitted,4823.81,No,,,NH,,,Course Completion certificate,Nashua Career Center,2018,2018,70,50,1,0
Python Web Development,Male,2024,2024-11-10,November,WIOA - FL,2024-11-18,2024-12-16,2025-03-24,Training Completed,Career Counselor reference,JW,6476.39,Admitted,6476.39,Yes,"$50,000-$74,999",SQL Developer,FL,Pioneer Digital,,Course Completion certificate,Orlando Career Center,2024,2024,98,36,1,1
OLD Student,Female,2019,2019-08-31,September,WIOA - MA,2019-09-07,2019-09-16,2020-02-03,Training Completed,Masshire Website,TP,6330.29,Admitted,6330.29,Yes,"$100,000-$124,999",QA Tester,MA,Northstar Technology,,Course Completion certificate,Boston Career Center,2019,2019,140,16,1,1
Advanced Data Analytics,Female,2026,2026-07-04,July,WIOA - NH,2026-07-21,2026-08-17,2026-12-07,Training Completed,Masshire Website,RJ,5811.89,Done with training,5811.89,Yes,"$125,000-$149,999",Cloud Support Specialist,NH,Pioneer Digital,,Course Completion certificate,Nashua Career Center,2026,2026,112,44,1,1
ADOBE Photoshop and Illustrator with Digital Marketing,Female,2019,2019-03-29,April,WIOA - MA,2019-04-24,2019-05-06,2019-08-26,Training Completed,Email,AM,6249.79,Admitted,6249.79,No,,,MA,,,Course Completion certificate,Medford Career Center,2018,2019,112,38,1,0
Web development and Cloud computing with Azure,Female,2023,2023-06-07,July,WIOA - VA,2023-07-04,2023-07-17,2023-11-06,Training Completed,Masshire Website,ML,7681.61,Admitted,7681.61,Yes,"$50,000-$74,999",Cloud Support Specialist,VA,Evergreen Analytics,,Course Completion certificate,Norfolk Career Center,2023,2023,112,40,1,1
Data Analysis With Python and Tableau,Male,2024,2024-08-06,September,WIOA - MA,2024-09-03,2024-09-16,2024-12-23,Training Completed,Masshire Website,AD,5762.94,Admitted,5762.94,No,,,MA,,,Course Completion certificate,Worcester Career Center,2024,2024,98,41,1,0
